mechanism,missing_pct,method,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_accuracy_count,test_precision_mean,test_precision_std,test_precision_min,test_precision_max,test_precision_count,test_recall_mean,test_recall_std,test_recall_min,test_recall_max,test_recall_count,test_f1_mean,test_f1_std,test_f1_min,test_f1_max,test_f1_count,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_roc_auc_count
MAR,30,mean,0.82,0.04149966532662909,0.7666666666666667,0.85,5,0.7484002109002109,0.07069225813635996,0.6875,0.8571428571428571,5,0.6526315789473685,0.14220269564322416,0.47368421052631576,0.8421052631578947,5,0.6911177434957922,0.09227301371178209,0.5625,0.7804878048780488,5,0.8564826700898587,0.030535399644517708,0.8157894736842104,0.8985879332477534,5
MAR,30,median,0.8099999999999999,0.049441323247304395,0.75,0.8666666666666667,5,0.7312380952380952,0.0970503761466388,0.6428571428571429,0.8666666666666667,5,0.6421052631578947,0.16392012107786777,0.47368421052631576,0.8947368421052632,5,0.6754010695187166,0.10351427387449919,0.5454545454545454,0.7727272727272727,5,0.8662387676508343,0.03220327454498475,0.8145057766367138,0.8985879332477535,5
MCAR,10,iterative,0.8300000000000001,0.04915960401250875,0.7666666666666667,0.9,5,0.7669230769230768,0.1324998604442717,0.6923076923076923,1.0,5,0.6947368421052631,0.17216239193469604,0.47368421052631576,0.9473684210526315,5,0.7157326007326008,0.10105835502272753,0.5625,0.8125,5,0.8987163029525032,0.06528486149188995,0.8048780487804879,0.9711168164313222,5
MCAR,10,knn,0.8300000000000001,0.03205897343611891,0.8,0.8833333333333333,5,0.7600336134453782,0.10247715000705403,0.68,0.9285714285714286,5,0.7052631578947368,0.12116699403390885,0.5789473684210527,0.8947368421052632,5,0.7223776223776224,0.0571238267696581,0.6666666666666666,0.7878787878787878,5,0.8998716302952502,0.05376989997721632,0.8196405648267009,0.9608472400513479,5
MCAR,10,mean,0.8266666666666668,0.03836954811073781,0.7666666666666667,0.8666666666666667,5,0.7774985014985015,0.10673671362377407,0.68,0.9230769230769231,5,0.6631578947368422,0.17296501815952614,0.42105263157894735,0.8947368421052632,5,0.7002564102564103,0.0956983063772841,0.5333333333333333,0.7727272727272727,5,0.8919127086007702,0.06367350870162206,0.7958921694480102,0.9582798459563543,5
MCAR,10,median,0.8266666666666668,0.04183300132670377,0.7666666666666667,0.8833333333333333,5,0.7633062589584328,0.10281605058542471,0.6923076923076923,0.9285714285714286,5,0.6736842105263158,0.13623346426889246,0.47368421052631576,0.8421052631578947,5,0.7072229241346888,0.08740285506260664,0.5625,0.7878787878787878,5,0.89602053915276,0.05279764963906245,0.8177150192554556,0.9582798459563543,5
MCAR,20,iterative,0.8099999999999999,0.0450308536203543,0.7666666666666667,0.8833333333333333,5,0.7082692307692308,0.05951207618929364,0.6538461538461539,0.8,5,0.6842105263157895,0.17054580785283843,0.5263157894736842,0.8947368421052632,5,0.6879867844573727,0.09654575519677049,0.5882352941176471,0.8205128205128205,5,0.8441591784338897,0.06615618390326805,0.7747111681643132,0.9242618741976893,5
MCAR,20,knn,0.8066666666666666,0.05082650227325632,0.75,0.8666666666666667,5,0.7044600738846263,0.06523034497886092,0.625,0.7777777777777778,5,0.6631578947368422,0.15163010832513613,0.5263157894736842,0.8947368421052632,5,0.6791758144699321,0.10035334542765513,0.5714285714285714,0.8095238095238095,5,0.8381258023106547,0.063350481809081,0.7503209242618742,0.9088575096277278,5
MCAR,20,mean,0.8233333333333335,0.0560257877132387,0.75,0.8833333333333333,5,0.7367380952380953,0.07882083432001019,0.6428571428571429,0.8333333333333334,5,0.6842105263157895,0.18608073189119673,0.47368421052631576,0.9473684210526315,5,0.7017801911919559,0.11752773390887608,0.5454545454545454,0.8181818181818182,5,0.8567394094993581,0.05299508149300552,0.7946084724005135,0.9216944801026957,5
MCAR,20,median,0.8166666666666667,0.0790569415042095,0.7166666666666667,0.9333333333333333,5,0.7220902255639098,0.12479181275360006,0.5625,0.8947368421052632,5,0.6842105263157895,0.19692933614599692,0.47368421052631576,0.8947368421052632,5,0.6953975848712691,0.1447486878975043,0.5142857142857142,0.8947368421052632,5,0.8635430038510912,0.060775294232965855,0.7817715019255456,0.9332477535301669,5
MCAR,30,iterative,0.8,0.05137011669140814,0.75,0.8666666666666667,5,0.7297994987468671,0.07148759817608641,0.6428571428571429,0.8,5,0.5894736842105263,0.19480795287707103,0.3157894736842105,0.7894736842105263,5,0.6370510054101385,0.13912243002022298,0.4444444444444444,0.7894736842105263,5,0.8310654685494223,0.07947059361505955,0.7349165596919127,0.920410783055199,5
MCAR,30,knn,0.8066666666666666,0.06932211447695143,0.7333333333333333,0.9,5,0.746268115942029,0.12339627070551432,0.6521739130434783,0.9333333333333333,5,0.5894736842105263,0.2085432921700942,0.3157894736842105,0.7894736842105263,5,0.6450745459474112,0.16560367338102788,0.42857142857142855,0.8235294117647058,5,0.8450577663671373,0.06435567768419799,0.758023106546855,0.9255455712451861,5
MCAR,30,mean,0.7833333333333334,0.07264831572567793,0.7166666666666667,0.9,5,0.6869467787114846,0.12254087207810001,0.6,0.8823529411764706,5,0.5684210526315789,0.18383420206918932,0.3157894736842105,0.7894736842105263,5,0.6147194050033807,0.15631009259122652,0.41379310344827586,0.8333333333333334,5,0.8363286264441591,0.07979728692659518,0.7509627727856227,0.9544287548138639,5
