seed,mechanism,missing_pct,method,n_train,n_test,n_features,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,runtime_seconds
2026,MAR,10,median,239,60,12,0.6813526570048308,0.08286093084661117,0.8333333333333334,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.8966623876765083,0.47829599998658523
2026,MAR,10,knn,239,60,12,0.6936249823806045,0.10128061693695181,0.85,0.7777777777777778,0.7368421052631579,0.7567567567567568,0.8908857509627728,0.44867760001216084
2026,MAR,10,iterative,239,60,12,0.6676553865333669,0.09264644991501697,0.8333333333333334,0.7647058823529411,0.6842105263157895,0.7222222222222222,0.8934531450577664,0.45753099999274127
2026,MAR,20,mean,239,60,12,0.6093596059113301,0.07749366771723383,0.8,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.9056482670089858,0.47409430000698194
2026,MAR,20,median,239,60,12,0.6070114942528735,0.12122181527192229,0.85,0.8571428571428571,0.631578947368421,0.7272727272727273,0.9146341463414634,0.5320749999955297
2026,MAR,20,knn,239,60,12,0.6417136886102404,0.133602817261327,0.8,0.7058823529411765,0.631578947368421,0.6666666666666666,0.8536585365853658,0.46661639999365434
2026,MAR,20,iterative,239,60,12,0.6064737931785987,0.20136735164761485,0.8333333333333334,0.8,0.631578947368421,0.7058823529411765,0.9114249037227214,0.45831630000611767
2026,MAR,30,mean,239,60,12,0.6359911012235817,0.08291430856750966,0.7666666666666667,0.6923076923076923,0.47368421052631576,0.5625,0.8421052631578947,0.4379402999766171
2026,MAR,30,median,239,60,12,0.6663095238095238,0.08194731729465818,0.75,0.6428571428571429,0.47368421052631576,0.5454545454545454,0.858793324775353,0.3627254999883007
2026,MAR,30,knn,239,60,12,0.5866907815933302,0.12916345981718075,0.7833333333333333,0.7142857142857143,0.5263157894736842,0.6060606060606061,0.7785622593068036,0.38861170000745915
2026,MAR,30,iterative,239,60,12,0.6071162196679437,0.08565531058571743,0.7333333333333333,0.6,0.47368421052631576,0.5294117647058824,0.821566110397946,0.42378519999329
2026,MNAR,10,mean,239,60,12,0.6292981212336051,0.09087381327795906,0.8666666666666667,0.8235294117647058,0.7368421052631579,0.7777777777777778,0.8973042362002567,0.4667922999942675
2026,MNAR,10,median,239,60,12,0.6451623376623377,0.07038466820240441,0.8666666666666667,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.8992297817715019,0.4885823999939021
2026,MNAR,10,knn,239,60,12,0.6644417448677084,0.07790431313603244,0.8666666666666667,0.8235294117647058,0.7368421052631579,0.7777777777777778,0.9075738125802311,0.4617135000007693
2026,MNAR,10,iterative,239,60,12,0.6259181678536517,0.10127835115933709,0.8666666666666667,0.8666666666666667,0.6842105263157895,0.7647058823529411,0.8889602053915275,0.41940649997559376
2026,MNAR,20,mean,239,60,12,0.5881736909323115,0.1425335786082636,0.8833333333333333,0.875,0.7368421052631579,0.8,0.9043645699614891,0.34628490000613965
2026,MNAR,20,median,239,60,12,0.6089523809523809,0.13672369807210624,0.85,0.8125,0.6842105263157895,0.7428571428571429,0.9088575096277278,0.47533539999858476
2026,MNAR,20,knn,239,60,12,0.6215421870594284,0.15406467704540497,0.85,0.8125,0.6842105263157895,0.7428571428571429,0.8960205391527599,0.46397940002498217
2026,MNAR,20,iterative,239,60,12,0.573283089834814,0.10313266835052896,0.8666666666666667,0.8666666666666667,0.6842105263157895,0.7647058823529411,0.9017971758664954,0.45035709999501705
2026,MNAR,30,mean,239,60,12,0.5112296871210283,0.19497479130112153,0.85,0.8125,0.6842105263157895,0.7428571428571429,0.9069319640564826,0.4530910000030417
2026,MNAR,30,median,239,60,12,0.5631671169023783,0.13264238172986545,0.8333333333333334,0.7647058823529411,0.6842105263157895,0.7222222222222222,0.8671373555840821,0.4608902999898419
2026,MNAR,30,knn,239,60,12,0.5067484239898034,0.08744777727103074,0.85,0.8125,0.6842105263157895,0.7428571428571429,0.8510911424903722,0.46190399999613874
2026,MNAR,30,iterative,239,60,12,0.4843616734143049,0.17609167645372817,0.8166666666666667,0.75,0.631578947368421,0.6857142857142857,0.8818998716302953,0.4595473000081256
7,MCAR,10,mean,239,60,12,0.697897949288383,0.06596951978426098,0.8333333333333334,0.68,0.8947368421052632,0.7727272727272727,0.9210526315789475,0.46111850001034327
7,MCAR,10,median,239,60,12,0.6740291392765156,0.09195309350257491,0.8333333333333334,0.6956521739130435,0.8421052631578947,0.7619047619047619,0.9152759948652118,0.4626636999892071
7,MCAR,10,knn,239,60,12,0.6642767648433848,0.07896684632697035,0.8333333333333334,0.68,0.8947368421052632,0.7727272727272727,0.9165596919127086,0.4705555000109598
7,MCAR,10,iterative,239,60,12,0.6989735551804518,0.0615732292210796,0.85,0.6923076923076923,0.9473684210526315,0.8,0.9191270860077021,0.4215525999898091
7,MCAR,20,mean,239,60,12,0.648392043294592,0.06043705618535725,0.8666666666666667,0.72,0.9473684210526315,0.8181818181818182,0.8998716302952503,0.40880490001291037
7,MCAR,20,median,239,60,12,0.6385481874447392,0.05077497415236711,0.8333333333333334,0.68,0.8947368421052632,0.7727272727272727,0.9011553273427472,0.47847230001934804
7,MCAR,20,knn,239,60,12,0.6558388278388279,0.033434163804645034,0.8666666666666667,0.7391304347826086,0.8947368421052632,0.8095238095238095,0.8786906290115531,0.4543275000178255
7,MCAR,20,iterative,239,60,12,0.6601666666666667,0.018138357147217045,0.8166666666666667,0.6538461538461539,0.8947368421052632,0.7555555555555555,0.8793324775353016,0.5126801999867894
7,MCAR,30,mean,239,60,12,0.6973581780538302,0.07444001138917465,0.7666666666666667,0.6190476190476191,0.6842105263157895,0.65,0.8427471116816431,0.48691050001070835
7,MCAR,30,median,239,60,12,0.6752727921753409,0.08157664499131721,0.8,0.6666666666666666,0.7368421052631579,0.7,0.8498074454428755,0.5604733999934979
