experiment_id,mechanism,missing_pct,imputation_method,ga_state,seed,n_train,n_test,n_features,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,source_file
MCAR_10_ITERATIVE_NOGA_RF_SEED123,MCAR,10,iterative,NOGA,123,239,60,12,0.9,1.0,0.6842105263157895,0.8125,0.9711168164313222,results/metrics/e1_e2_e3_multiseed.csv
MCAR_20_MEAN_NOGA_RF_SEED123,MCAR,20,mean,NOGA,123,239,60,12,0.8833333333333333,0.8333333333333334,0.7894736842105263,0.8108108108108109,0.9216944801026956,results/metrics/e1_e2_e3_multiseed.csv
MCAR_20_MEDIAN_NOGA_RF_SEED123,MCAR,20,median,NOGA,123,239,60,12,0.9333333333333332,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.9332477535301668,results/metrics/e1_e2_e3_multiseed.csv
MCAR_20_KNN_NOGA_RF_SEED123,MCAR,20,knn,NOGA,123,239,60,12,0.85,0.7777777777777778,0.7368421052631579,0.7567567567567568,0.9088575096277278,results/metrics/e1_e2_e3_multiseed.csv
MCAR_20_ITERATIVE_NOGA_RF_SEED123,MCAR,20,iterative,NOGA,123,239,60,12,0.8833333333333333,0.8,0.8421052631578947,0.8205128205128205,0.9242618741976892,results/metrics/e1_e2_e3_multiseed.csv
MCAR_30_MEAN_NOGA_RF_SEED123,MCAR,30,mean,NOGA,123,239,60,12,0.8,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.8581514762516046,results/metrics/e1_e2_e3_multiseed.csv
MCAR_30_MEDIAN_NOGA_RF_SEED123,MCAR,30,median,NOGA,123,239,60,12,0.8,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.8690629011553274,results/metrics/e1_e2_e3_multiseed.csv
MCAR_30_KNN_NOGA_RF_SEED123,MCAR,30,knn,NOGA,123,239,60,12,0.85,0.8125,0.6842105263157895,0.7428571428571429,0.8722721437740693,results/metrics/e1_e2_e3_multiseed.csv
MCAR_30_ITERATIVE_NOGA_RF_SEED123,MCAR,30,iterative,NOGA,123,239,60,12,0.8333333333333334,0.8,0.631578947368421,0.7058823529411765,0.8761232349165596,results/metrics/e1_e2_e3_multiseed.csv
MAR_10_MEAN_NOGA_RF_SEED123,MAR,10,mean,NOGA,123,239,60,12,0.8833333333333333,1.0,0.631578947368421,0.7741935483870968,0.9646983311938384,results/metrics/e1_e2_e3_multiseed.csv
MAR_10_MEDIAN_NOGA_RF_SEED123,MAR,10,median,NOGA,123,239,60,12,0.8833333333333333,1.0,0.631578947368421,0.7741935483870968,0.9621309370988448,results/metrics/e1_e2_e3_multiseed.csv
MAR_10_KNN_NOGA_RF_SEED123,MAR,10,knn,NOGA,123,239,60,12,0.85,1.0,0.5263157894736842,0.6896551724137931,0.975609756097561,results/metrics/e1_e2_e3_multiseed.csv
MAR_10_ITERATIVE_NOGA_RF_SEED123,MAR,10,iterative,NOGA,123,239,60,12,0.85,1.0,0.5263157894736842,0.6896551724137931,0.9525032092426188,results/metrics/e1_e2_e3_multiseed.csv
MAR_20_MEAN_NOGA_RF_SEED123,MAR,20,mean,NOGA,123,239,60,12,0.9166666666666666,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.9146341463414634,results/metrics/e1_e2_e3_multiseed.csv
MAR_20_MEDIAN_NOGA_RF_SEED123,MAR,20,median,NOGA,123,239,60,12,0.9,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.917201540436457,results/metrics/e1_e2_e3_multiseed.csv
MAR_20_KNN_NOGA_RF_SEED123,MAR,20,knn,NOGA,123,239,60,12,0.9166666666666666,0.9375,0.7894736842105263,0.8571428571428571,0.9017971758664954,results/metrics/e1_e2_e3_multiseed.csv
MAR_20_ITERATIVE_NOGA_RF_SEED123,MAR,20,iterative,NOGA,123,239,60,12,0.9166666666666666,1.0,0.7368421052631579,0.8484848484848485,0.9165596919127084,results/metrics/e1_e2_e3_multiseed.csv
MAR_30_MEAN_NOGA_RF_SEED123,MAR,30,mean,NOGA,123,239,60,12,0.7833333333333333,0.6875,0.5789473684210527,0.6285714285714286,0.8652118100128369,results/metrics/e1_e2_e3_multiseed.csv
MAR_30_MEDIAN_NOGA_RF_SEED123,MAR,30,median,NOGA,123,239,60,12,0.7666666666666667,0.6666666666666666,0.5263157894736842,0.5882352941176471,0.8818998716302953,results/metrics/e1_e2_e3_multiseed.csv
MAR_30_KNN_NOGA_RF_SEED123,MAR,30,knn,NOGA,123,239,60,12,0.8333333333333334,0.9090909090909092,0.5263157894736842,0.6666666666666666,0.8664955070603337,results/metrics/e1_e2_e3_multiseed.csv
MAR_30_ITERATIVE_NOGA_RF_SEED123,MAR,30,iterative,NOGA,123,239,60,12,0.7833333333333333,0.7142857142857143,0.5263157894736842,0.6060606060606061,0.8382541720154043,results/metrics/e1_e2_e3_multiseed.csv
MNAR_10_MEAN_NOGA_RF_SEED123,MNAR,10,mean,NOGA,123,239,60,12,0.9333333333333332,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.9685494223363286,results/metrics/e1_e2_e3_multiseed.csv
MNAR_10_MEDIAN_NOGA_RF_SEED123,MNAR,10,median,NOGA,123,239,60,12,0.9333333333333332,0.9411764705882352,0.8421052631578947,0.8888888888888888,0.972400513478819,results/metrics/e1_e2_e3_multiseed.csv
